,English,Target Kinnauri,Generated Kinnauri
899,By evening there was not a house in his village from which no one had gone to vote.,"ब्याली सेका तियूँरी बौस्ती कै हैनौ कुने घौर नाईं थाको, ज़ियै का कुन वोट बेज़बै नाईं नाठौंदौ हुवेस।",ब्याल सेग तिन रोह ग्राँवै कैह एक बिह घौर नाईं आओस ज़ास काह कुने बिह वोट बेज़मेह नाठोस।
900,The sun and moon are hidden.,दियुस जोत ताह चोरीहदेह साह,दियुस चंदा चोरिह साह
901,"Australia is a lovely place, so I have it.","ऑस्ट्रेलिया एकह शांरे ज़ागास, होज़ रोह तांई मुकाछ़े साह।","ऑस्ट्रेलिया एकह शांरे ज़ागास, तेह मुकाछेह साह।"
902,"Hey, there's a pedicure going on now.","हांई यांह नांह, तिन्छ़े एकह पेडीक्योर फिरेन साह।","अरे, हौतेत एक पेडीक्योर फिरानस एबै।"
903,"The next night, he drank another cup of brandy.",आयेक दयार ताज़ु राट तेसे तिन लाह काँजी रोह एकह गिलास आई ज़ुटनो बेज़ोस।,आयेक दयार राट तिनिये एकह आई गिलास ब्रांडे ज़ुटोस।
904,"When Arjuna saw him in this form, he thought to himself.",तेस लाह होयो देखिह देह अर्जुन मोने-मोन सुन्च़ियेन थियोह।,अर्जुन लाह होयो रुह केह देखिह देह आफुऐ सुन्च़ियेन थियोह।
905,My new mother and Bapu wanted me very much.,मैरै नौउवै यो आ बा मुला बौडौए च़ाँदै थेह,मेरोह नोईयोह आमां सिह बुआ मांलाह मुलुक च़ाँऐन थियेह।
906,I want to be humiliated by the fact that I speak the truth.,पाकी बातै कौरै शाए कियै मैरी बि बेज़ौती कौरासौ,हाँऊ दिमाङे बोलेन सुह होयोए देखिह देह आफरोह बेईज़ती टानमे चाएन सुह।
907,Eighth - He is fine but Nanak has not been given a fraternity slap.,आठवां-हौसौ ता ठीकस पर नानक लै आज़ सेका विरादरी रौ थेपेरै नाईं लागो।,आठवां- हौसौ ठीकस पर नानक लै ता बिह भाईपेरै लै च़िच़ै नाईं पौरो।
908,She would fly and sit there again.,उडयाउविंदै फिरि हौतेथे बेशान थीह।,हौसौ उडयाउविंदै हौतेत फिरि बेशदि थीह।
909,This will take me six months.,युहं होनी मांलाह छ़ोह मोसारो सेग आसे टानेस।,ईज़ रोह तांई मांलाह छ़ोह मोसारो लागेस।
910,They do not get to be like the geese in winter.,हिवाँद कै गिदौरौ रि गान हुवाँ हुवाँ ता नौकौरदौ,हिमांद गिदरी रोह गान नाथाकदोस
911,I would love to travel someday.,हाँऊ कादुह रीटनो पसंद टानसु।,मुला एक दियूस सौफौर कौरना भौलौ लागेस।
912,What is he afraid of thieves?,तियूँलै च़ोरौ रौ कयौ डौर,च़ोर लै हौसौ कयौ डौरदौस?
913,That 's a good excuse .,हौयौ एक भौलौ बहानास,होई एकह बोलोह बहाना साह।
914,Shivaji 's land is our dear,शिवजी रोह माटिह होई ओबोल आमोर रोह,शिवजी रोह दोरती तामोर रोह चानोह
915,I'm a huge NFL fan.,हाउ एकह मुलुक बोडोह nfl प्रशंसक सुहष,हाऊँ एक वाल बौडौ एनएफएल प्रशंसक सु।
916,Leave it alone and do something different.,हेथलै शोठयाऔ आ किछ़ आलाग कौरौ।,होजलाह शोठाई देह किह आलाग खोट
917,Happiness and peace are everywhere,सुख शान्ती किदे बिह नुदोह।,सुख शांति सऐब ठांऐ
918,Snake oil.,सांप रोह तेल।,साँप तेल।
919,"Brother, you have drunk the milk of a woman.",भाई तैईंयै बानिया रि द्यानी रौ दूध जुटौंदौस।,यांह बाई! तेईंयेह देन मांनुश रोह खीर ज़ुटाई देह।
920,"After three or four days of travel, one morning before sunrise he arrived at Hastinapur.","त्रोन-च़ार दयार रोह यात्रा टानिह देह सोह, दोथिह हस्तिनापुर केह पोछ़ोस",त्रोन च़ार दयार रोह बाते शुनिह देह सोह दोथिह दियुस निकिलनो काह पोएले हस्तिनापुर पोछ़ोस।
921,It's not that I don't like you.,हैयौ थोरीस किह हाऊँ ताऊँलै नाभाँदौसु,हौयौ नुवाँ किह हाऊँ तुमलै नौपसंद कौरदौसु।
922,Schools in villages are being torn apart by open streets,देश देश केह खुलियो स्‍कूल सोलोक होर रोह जाल बेसाईस,देश केह स् कूल खोलाएन साह
923,Read two and a half letters that,ढाई अक्षर जुनियेह सिखुई,ढाई अक्षर पौढो जुन
924,Blessed is Dr. Parmar,दोन्‍या दोन्‍या डाक्‍टर परमार,बख्श साह डॉक्टर परमार
925,"Sometimes they say, ""You asshole, write it clean"".","काज़ु काज़ु बोल्दोस, “ यांह फोच़ रोह रुहं स्या साफ-साफ चेमाओ।”",कादुह बोलेन थियेह तुहं खोरखोर साफ चेमाई
926,"Thank you, mother.",रानी: शुक्रिया यो।,शुक्रिया आमां।
927,He betrayed me.,हौतयूँवै मुला धोखा दिनो।,तिनिये मांलाह दोखा देई देह।
928,The Ladyship of the Snow-Pielar Nature,हियुह पियारी प्रकती रोह लारि,हियु रोह स्तंभ प्रकृति रोह मैडम
929,"If a person fasts in all decades, his lunar position is improved and his mental state is improved.",मानुष कियै सेबे एकादशी कै व्रौत छ़ारदेन तैन हौतयूँरौ ज़ोत ठीक फिरिंदै मौनाई हालौत बिह सुधरींदिस।,मानुष सारी दशक कै व्रौत कौरदेन ता तियूँरी ज़ौमौनी रौ हालौत औबौल फिरदौस आ तियूँरी मौनिक हालौत बिह औबौल फिरेस
930,She smiled and got off the couch.,सोह हांसेन पाह पोलडा काह निकलोस।,सोह हांसेन पाह सोफा काह ऊतरीस।
931,A curtain falls on the mind,मोन केह आछदोह साह एकह पोरदा,मोन केह एकह पर्दा लागदोह साह
932,"Nothing to fill your mind with literature,",साहित्य सिह कोठाह मुकसिह मेरोह मोन लाह बोरामे लाह किछेह बिह नाई।,साहित्य काह मोन बोर्रामे रोह किछ़ेह बिह नांई।
933,He became a target.,तेसा मौकसौद बौनो थेयो।,सोह निशाना फिरोस।
934,He wrote a letter and threw it in the cow 's throat.,तेसे फाटा-फाट एकह च़िठिह चेमाई देह काओ रोह क्यारोह केह बानोस।,तेसे एकह च़िठिह चेमाई देह काओ रोह क्यारै कैह बेज़ोस।
935,They obeyed the word of the scoundrel.,तिन रोह बाते लाह तेन्दुईये मांन्याओस।,तेनोरिह खोटपाट रोह बाते होरिह मानादेह थियेह।
936,He picked it up and began to rub it on the wood.,हौतेत लै च़ुँगिंदै ज़ुखरि कै रौखौरबै लागो।,तिनिये होसो बोट लाह तोल्याई देह ज़ुखरिह देह मालिश टानोस।
937,"He said so and went down the paths, trembling.",तिनिये होतिगे बोलिह देह तोलिह बाते ठुरेन थियोह।,होयो बोलिह देह सोह डोखरोह केह नाठोस।
938,But we can 't break it.,पर तामोरि गारि नोबोलिं।,तेबिह तामोरिह होजलाह बोरबाद टानिह नोबोलुगे।
939,Dogs are bomb bomb com.,कुकुरा रोह बाशनोऐ काम साह।,कुकुरा बोम बोम कॉम साह।
940,How will the scholarship be given,केयोह मागेह विद्या-दान,छात्रवृत्ति केयोह दियेस
941,It seemed to be.,होयो ज़ानोह आछ़ेन थियोह,होयो ज़ानोह आछ़ेन थियोह।
942,The Word opens the heart,बातेह मोन रोह खोलादीस,मोन लाह बोलिह देह बोलिह देह
943,not saying anything,किछेह बिह बोलिह नोबोलेन साह,किछेह बिह नोबोलिह
944,And they were going forth in their cloaks.,कफन लाविदेह आऊखा नाशदेह साह,आ आपनै गाछ़ै कै बाऐ निकिलदै थेह
945,This frog is called a grill.,होई टिपलोक्ट लाह ग्रिल बोल्दे साह।,होई दांमे लाह ग्रिल बोल्दे साह।
946,The Holy Land is adorned with them.,चोखोह होई दोरती होजिये शारेह लागदोह साह,तेनोरिये पवित्र दोरती लाह सजायाई देह।
947,"Later, they learned that it was their turn.",तेनोर रोह ठुर्राईनो काह पिछ़ुऐ होई तेनोर रोह हाथ केह आछ़िह थियोह।,तेह तेनोर लाह पोएले पोतांह आओस।
948,I'm a salesman now. Where do you live?,"होई बोलोस! हांऊ ऐह बेक्री केह काम खोटदो सुहं, तुहं किन थाकदो सेह?","हांऊ एह एकह सेल् सीमेंट सुहं, तुहं किन थाकदो सेह?"
949,What kind of product does it sell?,किह मिह जुरादेह कियाह होई बिकतोसाह?,होई केयोह रुह स्या सामान बिकदोस।
950,This is my Himachal Pradesh.,होयोह साह आमोर रोह हिमाचल,होई मेरोह हिमाचल प्रदेश साह
951,You are the most important diamond in our village.,तुहं तांह तामोर रोह देश रोह तांई सऐब काह खास मांनुश सेह,तुह ताह तामोर रोह देश रोह सऐब काह बोदिह हीरा
952,Such a person is as if poverty has increased in the area or is not the custom here.,हैनै मानुष मान्याऔ इलाका कै ग्रीबी बौढुईंदिस या ता ईंद्रा रिवाज़े नाईं।,होयो मांनुश होयो ज़ानोह आछ़तोस किह होसो ज़ागा केह गरीबी बोडियेन साह यांह ईन्छ़े रोह आदोत नुदोह।
953,Arjun watched him go.,अर्जुन तांह तेस लाह ठुरदी बेरे शांऐने थाकोस।,अर्जुन तिन लाह नाशेन पाह शांओस।
954,"In youth the forest was not a place of habitation, but now you have been graced.",ज़्वानी कै ज़ाँगाल ज़ाँगालाई खाक छ़ान्याई ज़ुरूर का एक ठाईं कै टिके नाईं एबै तुँबाई मैरबानी फिरबै लागी,"ज़्वानी कै ज़ाङगाल कै थाकनाई ज़ागा नाईं थाकि, पर एबै ताऊँलै शाँदी फिरी।"
955,We'll talk in detail later.,फिरी बाताईनौ डिटेल कै।,तामोरिह बिस्तराए बाद कैह बाताईसिह।
956,"When she came to me, her chest was like a grass of grass that was growing.",मुकाछ़ै पोछ़ि ताह हौतेसाई छ़ाति कलई कौरदि मटरुआ रिह बाज़ा रिह गान गाश-पार थी कौरदि।,ज़ेत्रेह सोह मुकाछ़े आछ़ती थिह तेस रोह छ़ेडी खोर रोह गान ज़ेओ बोडियेन थियोह।
957,They went back to their homes quietly.,च़ुच़्च़ुटा आपनौ आपनौ घौरै ठुराउवे।,तेनोरिह च़ुटकाङ गोरे नाठेस।
958,Is it worth going there?,कयौ हौतेत नाशना फाईदामौंद सा?,कियाह होतिन्छ़े नाशमे रोह बोलोह बातेस?
959,"The black cow, with its small horns, and its tail, looked very cute, and had about six or seven kilograms of milk a day.","काली गाऔ,लौउठै-लौउठै शींग, खूनटी कै बानींदै वाल शारै लागान, तेसकै लौगभौग छ़ौ सात किलो रोज़ कौ खीर थेयो।","लौउठै-लौउठै शिंगार सिह पुँज़ार सिह काली गाऔ वाल शारो लागदी, रोज़ छ़ौ सात किलो खीर खाँदी थीह।"
960,"Say, ""What a strange world you live in"".",बोला रोह रुह आजिबे साह तेरोह सोसांर केह,बोलौ तुँबै कैनौ विस्मयौनी दुनिया कै थाकदैसौ
961,"He thought, what will he think when he sees his friend in the morning?","तिनिये मोने-मोन सुन्च़ियोस, दोथिह ज़ेत्रेह तिन रोह कोन्यास होई सऐब देखतांह किह ज़ानेस?",सुनच़ींबै लागो दोथी सौंगी लै शाईंदै कयौ सुनच़ुवो
962,One day a cow gave birth to a calf instead of a calf.,एकह दयार एकह गोरुऐ बाछ़रु रोह ज़ागा केह दांम लाह ज़ोरमोस।,एकह दयार एकह काओऐ बाछ़रु रोह ठांऐ बाछ़रु लाह ज़ोनोम देनोस।
963,Not well people.,ओबोल नाई मांनुषा,ओबोल नाई मांनुषा
964,We are not!,आमोरिह हुदेह।,आमोरी नुवाँ!
965,You have your own government.,तेरोह आफरोह सरकार हुताह,तेरोह आफरोह सरकार साह
966,The Divine grace enabled both to join the army.,पौरमात्मा रिह हैनि दया फिरि किह दुईये फौज़ कै बौरती फिरे।,भौग्वान रि कृपाऐ दुईये लै फौज़ कै शामिल फिरनाई सुविधा फिरि।
967,Just making a big meal for yourself.,एखोह तेरोह ताई एकह बोडोह खाऊ तैयार टानेह,एखोह आफरोह ताई बोडोह खांऊ ज़ुर्राई देह।
968,Do a lot of work from morning till evening.,तिनिये दोथिह काह ब्याल सेग मुलुक काम खोटोस।,दोथिह काह ब्याल सेग मुलुक काम खोट।
969,The king also praised the Adibbani Mother after performing the worship in the temple of the Mother.,तेत्रेह राज़ाऐ माता रोह कोठी केह पुजा टानिह काह पिछ़ुह आदिभवानी माता रोह स्तुति बिह टानोस।,राज़ाऐ माता रोह कोठी केह पूजा-पाठ टानिह देह आदिते माता रोह बिह तारिफ टानोस।
970,Where's the view now?,एह किन नजारा?,एह ताह किह नजारा साह
971,"Babaji, you are telling the truth.",मोमा होरिह तुम्बिह दिमांङ बोल्योह।,बाबा जी! तुहं दिमांङ बोलेन सेह।
972,"who know the truth,",ज़ौ ज़ानेस घौरैवारि सत्या ज़ानेस,जुन सोचकोह जानदेह साह
973,"After a while, the man stood up and said, ""I'm sorry, man"".","आई दोंक काह ताह सोह मांष ऊजियोस, आई होयोह बोलेन माफ टानोह।","आई सांच़ काह पिछ़ुह सोह मांनुश खोराह फिरिह देह बोलोस, मांलाह बोलोह नांह।"
974,Why do you look down?,नजर लाह जुकाएन सेह किजु,किजु निहारदोह सेह
975,So he tore down the tomb and repaired it.,तेह तिनिये सोह श्मशान घाट लाह ऊपटी देह नोऊवोह ज़ु्राई थियोह।,तेह तिनिये सोह श्मशान घाट लाह तोडाई देह तिज़ लाह ठीक टानोस।
976,The deep rivers of Moh-Maya,मोह माया रोह डुगोह नालह,मोहस माया रोह डुगोह नाल
977,You prepare yourself like this,तुह होयोह आफलाह तैयार टान,तुहं आफलाह होयोए तेयार टान।
978,"In the sweet - sweet heat of the morning, I enjoyed sitting on a small stool in the barrel and making a meal.",दोथि रिह मिठि-मिठि जाऔ कैह ब्रानडा कैह लाईंदि लौउठि चारपाई गाश बेशिंदै नाश्ता कौरना मौज़ा आओ।,दोथिह रोह मिठोह ताप केह मेईंयेह बौरती केह एकह लोडोह-लोडोह कुर्सी गाश बेशिह देह खांऊ ज़ुर्राई देह मोज़ा काटेयाई थियोह।
979,"Narvada, I have no answer to your question.",नर्वदा तुँबाए हौयौ सवाला मुकै अचानौक किछ़ ज़ौवाब नाईं।,नर्वदा! तेरोह सोवाल रोह ज़ोबाब मुकाछे नाछ़तोस।
980,You?,तुँबै?,तुह?
981,Evil is the disease that makes the legs heavy.,होई मारेह बिमारी जिजलाह जुटिह देह खुण्‍डी गोरकोह,मारेह रोग साह खुडिह केह बोडोह फिरदोह साह
982,rising before the night opens,राट खुलीनोह काह आऊखाए,राट खुलेन पोह ऊज़ियेन
983,But people still believe in the indigenous medicine.,पर मानुषौ रौ विश्वास सा तैबिह देसी द्वाई पर बौनी थाको,तेबिह मांनुशा होरिह ईमरिह बिह देशी दवाई केह ब्रोसा टानदे साह।
984,You can't sleep with happiness,सुख रोह नीज  सुतीह बिह नोबोलसेह,सुख रोह सुख केह निज़े निथियोह
985,I am a little sad since the end of my favorite summer season.,मालाह ओबोल लागदोह सीजन बासाल छेकुई पिछुह हाऊ दोंक नाबावी सुह।,मेरोह पोसोन्द रोह बाशाल छ़ेकुई काह पिछ़ुह हांऊ गाटोह दुखी सुहं।
986,by working in the fields,डोखरेह बातिह काम खोटिह देह कमायाई देह,डोखरे काह काम खोटिह देह
987,No one from this village trapped in their screws could survive.,तेनाऐ पेंच कै फौसौंदौ हौयौ ग्राम रौ कुन बंदा नाई बौच़ी बोलो,आपनै पेंच कै फौसी हौयौ ग्राँवाए कासी लै कुने बि बौच़ाई नाई पौरो।
988,"After a while, Dr. Wasudev entered.",दौक का पिछ़ु डौ्कटौर वासुदेव हाईतै आएसा।,आई सांच़ काह पिछ़ुह डौकटौर वासुदेव बिते आओस।
989,So he did not take her words seriously and prevented her from doing so.,तैह तिनिये तिन रोह बातेह लाह मारेह नाजानिह देह तिन लाह होयोह टानोह काह रोकाओस।,तेकाए हौतयूँवै तेनाई बातै लै गाश नौकौरदा तेसलै हौतेथलै रोक्याओ।
990,"They're fine, but I personally like males.","तेनै ठीक सा, पर हाऊँ आपनि ताईंयै नरवारै लै भाँदौसु।","तेनोरिह ठिक साह, तेबिह हांऊ मांनुशा होर लाह पोसोन्द टानदो सुहं।"
991,I do not eat red meat.,हाऊ रतोह मासऊ नाखदोह सुह।,हाऊँ रातौ मासाऊँ नाखाँदौसु।
992,And begged them to walk to their palace.,आ तियूँलै आपनौ मैहैल कै हाँडनाई ताईंयै बोलबै लागो।,तेनोर लाह भिक्षा देई किह तेनोर रोह मेहल केह हाडपाड नाशसोह।
993,Tulsi Dal prevents the premature death.,तुलसी नाई आईंदि मौत का बौच़ाँदौस।,तुलसी दल काह बोकोत काह मोत रोह बोच़तोस।
994,"""As for Kalu, he got married.",“ज़ैयौ ना कैयौ कालू रिह शादी फिरी।,कालू रोह ताई शादी फिरिह
995,I want to get a horse.,हांऊ एकह गोरोह लोईमे च़ाँई सुहं।,हाऊँ एक घोरौ पौरबै च़ाँदौ सु।
996,Then came the election.,तेह दुबारा काह चुनाव आओस,तेह चुनाव आओस।
997,"In geography, sometimes they would have kept a copy of Hindi before English.",भूगोल रोह कोपी रोह ज़ागा केह काज़ु हिन्दी रोह कोपी आङमांऐ ज़ागदे तेह काज़ु अंग्रज़ी रोह कोपी।,भूगोल कै कौदु-कौदु हिन्दी रिह एक प्रतिया अंग्रेज़ी का पैलै छ़ारदी थीह।
998,The root is gone,ऊटरिस।,जड नाठिह साह
999,Why did hatred come to be?,दुशमोन विरोधी लाह किजुह राज आछेस,किजु आओह नफरत
1000,I'm just a writer.,हांऊ तांह ऐखोह एकह लेखक सुहं।,हाऊँ सिरिफ एक लेखक सु।
1001,You tell me what you thought of me,तुमोरी बोलौ मैरी ताईंयै तुमोरियै कयौ सुनच़ुवौंदौस,तुह बोल किह मेरोह बारेह कैह किह सुनचियेन सेह
1002,"If I had to stop there, I would.","कियै मुला हौतेत औटौकना बिह खोमाँदेन,तैबिह हाऊँ औटौकसु","कियै मुला हौतेत छ़ारना खोमाओ,तै हाऊँ छ़ारसु।"
1003,One day he had the idea of going around the country.,एक दियूस हौसौ देश कै छ़ुलना सुनच़ुवो,एक दियूस हौतयूँरोह ताईंयै देश रिह फिन्डेरी च़ौलना विचार आओस।
1004,"They began to think that when the snake wrapped in the throat of Lord Shankar, the vehicle of Ganeshji, wants to swallow the rat,","हौसै सुनच़ींबै लागे किह ज़ेतरा भौग्वान शौंकौर रोह क्यारै कै मेशलुवौंदौ साँप,गौनेश रोह वाहन मुशौ लै गुटि बेज़ना च़ाँदौस।","सुनच़ींबै लागे ज़ेतरा गणेश जी रौ वाहन भौग्वान शंकर रिह क्यारै कै लोटौंदौ साँप मुशौ लै खाँबै च़ाँदौस,"
1005,Drag each other's legs,एकह आएक रोह खुडी गिसते साह,एकह आएक लाह खुडिह गारिह देह
1006,What do you think nobody knows?,तुह किह जानदोह कासेह लाह पोताह नाइयाह?,तुमलै कयौ लागदौस किह कासी लै पौता नाईं?
1007,"On the date, the file started getting thick.",फाईल बाकलोह फिरेन थियोह।,तारीख कै फाईल मोटी फिरबै लागी।
1008,The Day of Resurrection is approaching.,होयोऐ होसो दयार बिह आओस।,कयामत रोह दयारोह आछ़ेन साह।
1009,Ram is born house house,घोरेह घोरेह राम जोरमोह,राम रोह जन् म घोरेह घोरेह
1010,He had a great deal of influence in five or seven villages.,पांच़ सात ग्राँऔ कै तियूँरी वाल धाक थीह,पांच़ सात ग्राँवै कै तेसा वाल प्रभाव थेयो।
1011,"No, I'm not married.","नुवाँ, हाऊँ शादी शुदा नुवाँ।","नुवाँ,हाऊँ शादीशुदा नाईं।"
1012,Shout out loud.,ज़ोर-ज़ोरियै चिचाँबै,ज़ोरिये चिचाओ।
1013,I like freedom.,मुला आज़ादी पौसौंदस।,मांलाह आज़ादी पोसोन्द साह।
1014,Then he made three roarings like a lion's roar and jumped on a giant elephant.,तैह ब्राघ रोह गान त्रोन बेरेह सियार रोह काद गारिहदेह एकह बोडोह हाथिह गास नाठोस।,तेह तिनिये ब्राग रोह गरुर रोह गान त्रोन गरुर्राई आई एकह राक्साई हाथी गाश लाङगियोस।
1015,Hokka and the Dog Dobo were his life partners.,हुक्का आ ‘धोबू’ कुकुर-हौयौए हौतयूँरै ज़िंदगी रै साथी थेह।,होक्का सिह कुकुर डोबो तिन रोह ज़िन्दगी रोह कोन् या थियेह।
1016,"No, I'm sorry, I mean on my tent.","नुवांह मांफ टाने, मेरोह मोतलोब मेरोह डेरा गाश साह।","नुवाँ, माफ़ कौरौ, मैरौ मकौल मैरौ पाल कैस।"
1017,Never bought youth,मोल नोपराह जोआनी,कादुए किन् याई नोबोलीह जवानी
1018,They all hit the best.,तेनोरिह सऐबे बोलोह हिट टानदे सिह।,सेबियैए सेबका भौलौ हिट कियो।
1019,Doctor: Did you suffer from insomnia?,डौक्टौर: कयौ ताऊँलै नीज नाछ़िंदै दुखी थीह?,डौकटौर: कयौ तुमलै बेज़नी का दुख थेयो?
1020,"Change the fate of this little girl or she will sew shoes like you"".",हौयौ छोकरी रिह किस्मौत बौदल्या ना ता हेसै बिह तुँबाई गाने आला सेथनास।”,हौयौ लौउठि छ़ोटि रिह किस् मोत बौदल्याऔ ना ता हौसौ बिह तुँबाऐ गान ज़ुटाई बेज़ेस।
1021,Keep the hook inside.,चिलिम लाह बिते ज़ागोस।,चिलिम लाह बितेह ज़ागोह।
1022,I think your wings are coming out.,पाक्का तेरोह पांखुर निकलिह,मांलाह होयो ज़ानोह आछ़ेनस किह तेरोह पाखुर बाऐ आछ़ेनस।
1023,"Radha: Kullu, Manali Jaa is a beautiful place on honeymoon and it is also nearby.","राधा:- कुल्लू, मनाली नाशसिह हनीमून लाह होतिन्छ़े वाल शांरे ज़ागास आई सोह नेराङ बिहस।","राधा:- कुल्लू, मनाली जाह हनीमून गाश वाल शांरे ज़ागास आई ईन्छ़े बिह थाकदोस।"
1024,"The boy saw the girl, the girl saw the boy and the date of the wedding was also fixed.",तेह जानेक रोह तारीख बिह निकलोस।,"छ़ोटूवै छ़ोटी लै शाओ, छ़ोटी छ़ोटू लै शाओ आ शादी रि तारीख बि तय फिरी।"
1025,I 'm like a cougars flower,हाँऊ बिह कुज्‍जी रोह फुल रोह गान,हाऊँ एक पौमारा रोह गान फुलसु
1026,And now he doesn't leave her.,आई एह तिज लाह नाछाराएन साह,आई ऐह सोह तिन लाह शोठाई नोशोठादोस।
1027,Another new judge came.,एकह आयेक बिह न्यायधीश आओस।,एकह आयेक न्यायधीश आओस।
1028,It is ten to five minutes.,दौश बाज़िंदै पाँच़ मिन्ट फिरैंदै सा।,दौश पाँच़ मिनट कै थाकदौस।
1029,They have wooden doors and iron locks.,सेबी रै कुवाङ कै ज़ुखरि या लोवाई च़ादरी रै द्वार आ पाका शानै लागि थाकदैसा,तेनोर केह ज़ुखरी रोह दोवार आई लोह ताला साह।
1030,Neither Akkar nor Ruab Maharaja is blessed with his life.,आ औकौड ना रुआब माराज दौन्यौस तियूँरी ज़िंदगी।,ना एकौर ना रौब महाराज लै आपनौ ज़ान बौरगौत दिनौंदौस।
1031,It is the nation that gives power to the Abla itself.,सोत देदिह राष्ट्र लाह  होई आफुह ताह आबलाह फिरिह,आफुए एबले लाह ताकोत देदोह साह राष्ट्र
1032,"It will initially air on Wednesdays and Sundays, 2 days a week.",आई गेत होर लाह बिह देख्याऐस। शुरु-शुरु केह होई सोप्तांह केह दुई दयार बुधाराङ सिह तोवार तांज़ु देख्यासाह।,शुरुआत केह सोह दोथिह बिह शुप्टु-बुधह केह देख्याऐस।
1033,"Even today, when it comes to the topic, he tells everyone to ""Learn to digest success.",आज़ बि ज़ेतरा बातै च़ौलदिस ता सेबी लै हौयौए सौमज़ाँदौ कि “सौफौलता लै हाज़ाम कौरना शिखौ।,"आज़ बिह बाते होर रोह बाते शुनिह देह सोह सऐबे लाऐ बोल्दोस, किह, फलाश लाह पाचामे लाह शिखियु।"
1034,I called my husband to arrange for a car to take them.,मैईंयै आपनौ मौर्द लै फौन कियो किह हेनाई नाशनाई ताईंयै गाडी रोह इन्तज़ाम कौरौ।,मैईंयै आपनौ मौर्द लै आराओ किह हौसै लै गिनुईंबैलै एक कार रिह त्यारी कौरौ।
1035,Never been there.,तिन्छ़े काज़ुऐ नोनठी।,कौदुवे हौतेत नेथेयो।
1036,I'm sick of your daily grind.,हाऊँ तैरौ रोज़ाए चौपौरनै का हारुवौंदौसु,हाऊँ तैरौ रोज़ रोह खडपंच का हारुवौंदौसु।
1037,Are these cats pets?,कियाह होई पिशिह पालतु साह?,कियाह होई पिशिह पालतु साह?
1038,No thieves etc. came.,कुने बिह च़ोर नाछ़िह।,किछ़ च़ोर होरिह नाईं आओ।
1039,"Okay, Bob, you like games.",ठीकस बॉब तुहं खेलनो पोसोन्द टानदो सेयाह।,ठीकस बॉब तुह खेलनोह पसंद टानदोह सेह
1040,The plane will fly in a minute.,जहाज़ एक मिनट कै उडयाइयेस,एक गौरि कैह प्लेन उडयाएस।
1041,John: Thank you.,जॉन: होल्‍लासे।,जान: होल् लासे।
1042,"Actually, the idea of something else, good.","दिमाङे किह ओरिक फिरनोह सुनचिनोह, ठिक।",दिमांङे किह ओरिक्या बाते रोह होई बातेह बोलोस।
1043,The sea is 10 kilometers away from here.,ईन्छ़े काह सोमोन्द्राङ दोश किलोमीटर दुरस।,ईन्छ़े काह सोमोन्द्राङ तांह दोश किलोमीटर दुर साह।
1044,Make it your life's goal.,आफरोह जिदंगी रोह ध्‍येय मानाओ,ज़िन्दगी रोह लक्ष्य जुराओह
1045,So the curse of Master will go with it.,तेह गुरुज़ी रोह शोराप पाक्का साथे आछ़ेस।,तेकाए मास्टौर जी रि शाप बिह साथ नाशेस।
1046,remember,कोलाङ ज़ागेह,कोलाङ टान
1047,"No one of Mastram 's age is alive today, all the companions have gone.","मस्तराम रिह बोल्खा आज़ कुने बिह ज़ियूँदौ नाईं, सेब सौंगी साथी ठुरैंदैसा।",मस्तराम रोह जमाना रोह आज़ कुने बिह ज़िउदोह नुदोह सऐबे कोन्या होरिह नाठेह।
1048,Tell me about yourself.,आफरोह बारेह केह बोलह?,मुला आपनौ बारे कै बोलौ।
1049,"How are you today,","आज़ तुँबै कैनैसौ,","आज़ तुँबै कैनै सौ,"
1050,I enjoy reading!,मालाह सिखिमे लाह वाल मोजाह आछदोह साह।,मालाह शिखिनोह रोह मोजाह आछदोह साह।
1051,gas,गेत,गेत
1052,Anant has solutions to everyone's problems.,अन्नत कै सेब मुश्कौल रोह हौल थाकदौस।,अन्नत काछ़े सऐबे रोह सऐब रोह सऐब रोह बाते होरिह खोतोम साह।
1053,"Today's boys waste their lives not listening,","आज़ कालिह रोह छ़ेल्डु देरेह बाते नुशुनदे, आई आफरोह ज़िन्दगी लाह बोरबाद टानदेस।","आज़ रोह छ़ेल्डु पेरेह ज़िन्दगी लाह बोरबाद टानिह देह, शुनमे नाछ़िह देह।"
1054,the bounded,कोऐ स्या हदे टानेन।,सीमा रोह
1055,That can do the same.,होसोवे खोटिह बोलेस।,सोह बिह होयोऐ खोटिह बोलेस।
1056,Himachal Pradesh is a very beautiful and peaceful region.,हिमाचल एकह गोमा शांरे आई सुख स्या देश साह।,हिमाचल प्रदेश मुलुक शांरे साह आई मुलुक शांतिपूर्ण साह।
1057,"The Bible says that ""the heart of man is the heart of the earth"".",मोन केह मानवता आन,"आङमांऐ बोलोस, मांनुश रोह मोन केह तांह मांनुश रोह मोन केह फोसनोह आछ़तोस।"
1058,"The other said, ""If he had to change some of the village's public practices,",आईकियै बोलोस कियै तियूँवै ग्राँऔ रै मानुषा बौरताव कै किछ़ औदला बौदली कौरनाई बि थी,"आईकियै बोलोस, कियै हौसौ ग्राँवाऐ मानुषौ रै दौक रिवाज़ लै बौदल्याँबै खोमाए ता"
