,English,Target Kangri,Generated Kangri
1018,It was moving.,ताहीं तां अज्ज धरती,एह हिलदी-चलदी थी
1019,It was up there.,रोटी ता थी भी पर इक ता वरखा लगी रही थी,सैह् उपरे ते था।
1020,People of my village,"मेरे गांवा दे, आंगणे - आंगणे समाओ",मेरे ग्रांए दे लोक
1021,I 'm not drinking right now,जे नसे बिच कुथी बाहर आई जाए ता प्हाड़ी रस्तयां ते जीपा लोन्धिया जो देर नी लगदी,मैं हुण नी पी करदा
1022,"If the family does not come to the house, it will be a disgrace to the mother-in-law.",रहामजादया मै घरै नी बड़ना देणा है अज्जा परन्त,घरै आई करी सस्सू-सौहरियां जो अपणा-अपणेया
1023,She lived happily ever after.,सैह बडे सुखे ने रैंदियां थिंया।,तिसा दा जीवन बी खुशियां ने चलया।
1024,Is this your son?,यह तुम्हारा बेटा है' ? जी महाराज,क्या एह तुहाड़ा बेटा ए।
1025,I like to visit national parks. I do too!,मै राष्ट्रीय उद्याना दी यात्रा करना ज्यादा पसंद करदा। मिजो बी!,मिजो राष्ट्रीय उद्यानों दा दौरा करना पसंद ए। मिजो बी करना पसंद ए।
1026,7. Do not lean on the wall.,नलके बंद करी देया।,7.दीवार पर न लपेटो।
1027,"Two or four strips will be collected and carried away. One chair will have to be arranged, then the owner will be seated.","दो चार पंदा भी कठेरी की लैई चलगे, इक्क अदी खरी जेही कुर्सी उआड़नी पौणी, तांहीं साहबे जो बठियालगे","{575} दो-चैह पट्टी चुक्की के लेई जाणा। इक्क कुर्सिया जो बणाणा पौणा, फिरी मालिकें बठियाणा।"
1028,"They are found everywhere, easily and cheaply.",अस्सां जो चंगा-भला पता प्हेई चुगली-चाटी कन्ने बटाईया आलेया माहणुआं रा कत्थी भी घाटा नी,"तिन्हां जो हर पासे, सजीली कने सस्ते च मिलदे हन।"
1029,"I'm touring with a band, maybe you can do something like that.","मै इक बैंड कने दौरा करदा, शायद तुहां बी कुछ  ऐसा करी सकदे।",मैं इक्क बैंड कने दौरा करा दा ए। शायद तुहां कुछ ऐसा करी सकदे हन।
1030,549. I got all five kids in bed and I'm ready to make some cartoons.,548.मुझे अपनी खरीदारी की सूची को रंग देना पसंद है।,"548.मैं एक नर्स हूँ, मैं एक नर्स हूँ।"
1031,The family of owls and the bat family agreed with the other birds.,औआ परमात्मे नैं सब्बो अरदास करा।,उल्लुआं दा टब्बर कने बैट्ठ टब्बर बाकी पंछीयां दे मन्नी गिया।
1032,Why should he speak of the dead?,जिह्नां रे घरै घीटुए रे रस्तें चार सौ किट्ठा बड़ी जाए,पर तिन्नीं तिसा जो अपणे आपे जो गलाया था जे सैह मुर्दां दे बारे च कजो गलाणा चाहिदा
1033,"The jaws of many snakes, the jaws of countless bees, the poisonous stings of the moths, the wings of the snails, and I don't know what she had in her house, bottled.","लोक बचारे भोले-भाले हे, कनैं जगतू बड़ा चलाक हा सैह्‌ अपण्णी बड़ी फू'$-फा'$ रखदा हा","कई सर्पियां दा ढोल, बेशौफ मधुमक्खियां दा ढोल, मत्तों दे जहर दे डंग, खरगोशों दे पंख, पता नी अपणे घरे च क्या बोतलां च रखियो थी तिसा दे"
1034,MS. Kaul: Drinking water is water that is a fi t for human consumption.,सुश्री कोल: पीने योग्य पानी सै पानी ए जेडा माहनुये बासते फाईटी ए ।,मैडम: तुसां जो क्या बणाणा दे?
1035,"Draupadi finally asked her to swear and she told him everything and he said, ""Whatever happens, let me marry her or I will not survive"".","239.  आखरकार दरोपदिया तिसियो कसमां देई के पुच्छेया तां तिन्नी तिसा जो सारी गल्ल दस्सणें ते परन्त गलाया - ‘ कियां बी होऐ, मेरा तिसा ने ब्याह करवाई दिया। नींह तां मैं जीन्दें नी बचणा।’","{589} दरोपदी आखरें तिसा जो कसम खाणा गलाया कनै तिन्नी तिसा जो सारी गल्ल दस्सी कनै तिन्नी गलाया............... जे बी होऐ तां तिसा दा ब्याह करी देया, नहीं तां मिंजो बी नीं बची पौणा।"
1036,She kept sending you your informative stories on WhatsApp.,वट्सऐपे च भेजदी रैहन्दी सैह तुहाड़े ज्ञानवर्धक किस्से।,व्हाट्सएप पर तिन्नी तुहांजो तुहाड़ी जानकारी देयी कहाणियां भेजदियां रैहन्दी ।
1037,His own way of saying it.,गलाणें  दा  अपणां - अपणां   ढंग।,अपणा ही गलाणा
1038,Then he laughed a lot.,काल्ही काल्ही मौजा बिच हुन्दा ता बोल्दा 'दादिया ते पुच्छी लैंघा भई कधैडिया दा म्हूत निकळदा है फिरी दस्सी दिघा,"तिन्नीं गलाया, 'मैं तां गलाया, जे मैं कुड़ीयां देयां बब्बां यो लेई आऊं, तां तिन्हां यो देई देया, जे तिन्हां यो देई देया, तां तिन्हां यो देई देया"
1039,1157. Hi. I'm at home listening to music now.,1156.मैं बिल्कुल प्यार होता है कि |,1156.मैं एक नर्स हूँ। मैं एक नर्स हूँ।
1040,"Do not look at evil, do not speak evil, do not listen to evil.",न बुरा दिक्खा न बुरा बोल्ला ता न बुरा सुणा।,कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस कुस
1041,"Radha said, ""My relatives from far away in this world show love to me by looking at my property.","नर्वदा बोली- मेरा इसा दनिया न कोई पारे दे रिश्तेदार जो हन भी, सैह मेरिया सम्पत्तिया पर नजर टकाई की मिंजो ने प्यार दसदे","राधा बोलिया, दूरे दूरे दुनियां दे मेरे रिश्तेदार मेरी सम्पदा जो दिक्खी करी मिंजो प्यारा दस्सदे हन।"
1042,"Man, he drinks with friends when there's a party.",हां पता है,सैह् अपणे दोस्तां सौगी पार्टी देणे तांईं पींदा।
1043,"And this maiden shall not remember me when she dies, but shall be concerned with the cow; and she shall not go into my belly, but into the belly of the cow.",तालू इसा माइया जो मरदे टैम मेरा स्मरण नहोई के बस गाई दी चिंता रैंगी कने सै मेरे धामे जो नी जाई के गाई दी योनिया बिच्च चली जांगी।,"तिन्नी गलाया, '''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''"
1044,The woman is the Lakshmi of the house and the man is its guardian.,"हर जीवन-प्रांणी दें, अपंणे-2 फरज हंन","घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै, घरै-घरै,"
1045,"99. Very good, graduation is underway.","98.ओह सबसे निश्चित रूप से, यह कठिन है, मैं अपनी बेटी को ज्यादा नहीं देखता।","99.बहुत अच्छा, स्नातक चल रहा है।"
1046,Gangi also came to consciousness,तिन्नी भिरी तिसा दे पैरां जो झफ पाई दित्ती,गंगी भी चेतें च आई गई
1047,I asked the Principal.,कोई गल्ल नी नोआ तणख (धनुष) मुंगाई दिंगे।,मैं प्रिंसिपल ते पुच्छया।
1048,I figured they'd be Sallow's supporters.,"में समझया जे एह सल्लो दे हिमायती होणे,",मिंजो लगया कि सेह सल्लो दे समर्थक हुंगे।
1049,water,रोटी खादी,पाणी
1050,"The bands of the sixteen began to play, and the sixteen bands also began to walk in full swing.",{813}  बाजे आळे बाजे बजाणा लगि पे। गांह सोऴा बाजे आल़े सैह्बी पूरिया बर्दिया बिच चलणां लग्गे।,{616} सोलहिया दे बैंड बजणा लग्गे कनै सोलहिया दे बैंड बी फुल्ल-फुल्ल चलणा लग्गे।
1051,Green forests and mountains,"धरती-शिवजी, पाणी-विष्णु",कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी कदी
1052,And take the sword.,गठड़ी नीं हींग,"तिन्नीं तिसा जो गलाया, जाहलू तुसां अपणे घरे जो चली जा"
1053,"The Sahirid is immortal, but the wives have a mountain life.",सहीद ता मरी करी अमर होई जांदा  लेकन तिन्हादी क्हरे आलियाँ सामणे पहाड़े साँईं जीवन हुँदा है,सहरीद अमर है पर पत्नियां पहाड़ी जिंदडी है
1054,847. My dog is saving my dog!,846.मेरा पसंदीदा भोजन इतालवी है! खाना बनाना पसंद है।,846.मैं एक कुत्ते के रूप में काम करता हूं।
1055,Q: My mother always forbids me to keep animals.,माँऽ कवता लिखणा छड्डी मुन्नुए ते पुच्छणा लग्गी:क्या दस्सणा चांह्दा?,प्रश्न: मेरी माँ हमेसा मिंजो पशु पालणे ते मना करदी है।
1056,"Instead, he got sick from within.",सैह् म्हेस्सा-ई सस्सू दे दबाए हेठ रैंह्दी कनैं तिसा दे गलाए मूज़ब कम्म कमांदी।,तिन्नीं अपणेयां बड्डेयां-बड्डेयां गल्लां सुणी करी अपणेयां बड्डेयां-बड्डेयां गल्लां सुणी करी अपणेयां बड्डेयां-बड्डेयां गल्लां सुणी करी अपणेयां बड्डेयां-बड्डेयां गल्लां सुणी करी अपणेयां बड्डेयां गल्लां सुणी लेई
1057,Jonda was waiting for it to tell her name.,फरलोई ने रोई पई,तिन्नी अपणा नां गलाणा लगी पेआ
1058,very fine,पत्तरां च पइयां,बड़ा ठीक
1059,"Without rain, the fields are useless.",धरतू दा सिगार,बरखां बाझी खेतां बेकार ही रैहन्दे
1060,Ruldu is now engaged in his father 's business.,घरे रे कम्मे च बड़ा कामा,रुल॒दुएं अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ जो अपणिया माऊ बछाणिया जो अपणिया माऊ बछाणिया जो अपणिया माऊ बछाणिया जो अपणिया माऊ बछाणिया जो अपणिया
1061,I wrote this song. Such mischief should be continued. Life is stress free.,एह शेर लिखया।देई देई सरारतां करदे रैहणा  चाहिदी जीवन तनावमुक्त रैहन्दा है।,एह गीत मैं ही लिखया ए।ऐसी बदगुमानी जो जारी रखणा चाहिदा।जीवन तनाव मुक्त है।
1062,A servant of the royal household who used to make a banquet in the palace also attended the banquet.,राजघराने दा इक सेवक जैडा मैहले च सोत दिंदा था सै बी इस भोज च सदया था।,{844} तिन्हां दावत-भजना बिच राजेयां दे घरे दा इक्क नौकर बी हाज़र होई गिया। सैह राजमैह्ले बिच भोज बणाई के बी औन्दा था।
1063,The fair of Lavi is located in Rampur Vilaspur Nalwad,देखी-देखी जनता दंग रेही जांदी सारी ऐ,लाविए दा मेळा रामपुर विलासपुर नलुआड़े च है
1064,"5 is that a bummer you like music I like music pop, rap, 80s music what do you like about you?",मिंजो राक पसंद ए। तुसां क्या बीडियो गेम खेलदे? हां मिंजो वी डी ओ गेम पसंद ए। तुसां बल कदेया गेमिंग सिस्टम ए?,"5क्या एह इक बम्मर है तुसां जो संगीत पसंद ए। मैं संगीत पॉप, रैप, 80 दे दशक दा संगीत पसंद करदा। तुसां जो तुसां दे बारे च क्या पसंद ए?"
1065,"58. It is said that earlier Tallah had dense forest. There was a small road ahead of Shahpur which led to the villages of Darini, Harvoh and Sali which was covered with twisted twigs.","58.  गलान्दे हन्न पैह्लें टल्ही घणा बण था साहपरे ते गांह निक्की-निक्की बत्त हुन्दी थी, जेह्ड़ी दरीणियां, बोहें कनै सल्लिया ग्रां तिक्कर जान्दी थी। जेह्ड़ी ढेरम्ढेरी झिल्लां-बसून्टां ने ढकोइयो रैह्न्दी थी।","58. ग्लान्दे हन्न जे पैह्लें टल्ही बिच घने वने थे। साहपुरे अग्गे इक्क निक्का रस्ते था जेह्ड़ा दरीणी, हरवौह कनै सली दे ग्रांएं जो पुज्जा दा था जेह्ड़ा घुम्मदा-घुम्मदा डंगरां ने ढकेया था।"
1066,She kept screaming and changing her curves every hour.,डरे च जबरिया जो सारी रात निंदर नीं पेई।,सैह् चिल्लादी रैन्दी कनै हर घंटे अपणे वक्र बदलदी रैन्दी।
1067,Big and beautiful,राजे रा सैह मुंड्डू बाराहं बरसां रा जुआन होई पेया,बड्डे कनै छैल
1068,"I'd love to go to a rock concert, but I'm single.",मिंजो एह खरा लगदा ।,मैं इक रॉक कॉन्सर्ट च जाना पसंद करगा पर मैं सिंगल ए।
1069,He had no idea what to do or not to do.,"क्या करे, क्या न करे तिस जो कोई समझ न औए",तिन्नीं जो पता नी क्या करना है न क्या करना
1070,"Freedom in the country today, my mother Bhola","दिन अज्ज भुल्ली गेया, देसे च अज़ादी अज्ज होई",अज़ादी अज्ज देशे च अम्मा भोला
1071,I only work half the day. I work in a bank which is good.,मैं सिर्फ अद्धा दिन कम्म करदा। मैं बैंके विच कम्म करदा जेहड़ा कि खरा है।,मैं सिर्फ अधे दिन कम करदा। मैं इक बैंक च कम करदा जो खरा ए।
1072,Our so many years,इक बी या |,असां दे इतने सालां
1073,When I wanted to,मेरियां अतृप्त चाहता,जाहलू चाहदी थी
1074,366. When I 'm not working,"365.हाँ, यह बिलों का भुगतान करता है",365.मैं एक नर्स हूँ।
1075,"After walking a little, he saw a high wall of red stones.",279.   थोड़ी दूर चलणें ते परन्त तिसियो लाल बट्टेयां दी इक्क उच्ची दुआल दुस्सी गेई।,थोड़ी दूर चली गेया तां तिन्नी लाल पत्थरयां दी ऊंची देवाल दिक्खी।
1076,Girls already know that one day they will have to leave their home and go to someone else's.,"अपंण जिस घरे च मर्द, जां मर्द बच्चा नीं,- सैह घर न्हेरे च ई हुंदा",कुड़ियां जो ई पता है कि इक दिन अपणा घर छड्डी के कुसी होरिए दे चले जाणा पौणा
1077,58. It sounds a little scary.,57.एक बार। आप एक गोंद आवरण भी नहीं फेंक सकते हैं या आप गिरफ्तार हो सकते हैं।,58.यह थोड़ा डरावना लग रहा है।
1078,remaining condition,जान ‘प्रेमी' टुंगी दित्ती फाई पाई तू कहजो?,बची जांदे हालत
1079,People used herbal remedies to cure diseases.,पिछलियां दिनां च आजादिया तों पैहलैं ग्रा'४ च हस्पताल नीं थे हुन्दे,लोकां ने जड़ी बूटी दा इस्तेमाल कराया रोगां दा इलाज कराया।
1080,736. What are you doing?,735.ज़रुरी नहीं । ट्रैवल एजेंसियां एक मरते हुए व्यवसाय हैं।,735.मैं एक नर्स हूँ।
1081,You don 't want to pretend,परोहत जी ये ही विधि दा विधान है,तुसां दिखावा नी करना चाअदे
1082,I am confident that readers will be able to connect themselves to their culture as they read this work.,"इसदा /इद्हा कारण एह ऐ भई लग्ग-लग्ग जगहां च इन्हां प्रथां ( प्रथां) दी नुहार लग्ग /ल्हादा/ जुदा थी, पर/अपर प्रथां थियां जरूर",मिजो पूरा भरोसा ए कि पाठक इसा रचना जो पढ़दे ही अपणी संस्कृति कने कने कने कने कने कने खुद कने जुड़ी सकगे।
1083,He took the stakes.,छड्ड भलेया तू सरमा-सुरमा,सैह् डंग्गियां लेई गेईयां।
1084,1133. I'm not too much for small things.,1132.मैं इसे खुद नहीं करता हूं।,1132.मैं एक नर्स हूँ।
1085,Talha is the name of the hill where the mother lives. It is a high hill. In the past this hill was known as Talha.,"196.  टल्ह तिसा प्हाड़िया दा नाँ है जित्थू माता दा वास है। एह इक्क उच्चा टिल्ला है। वक्ते परन्त इस टिल्ले जो ही टल्ह नाएं ने जाणना लग्गे। जाह्लू इत्थू माता टल्ही दी पिण्डी निकळी थी, ताह्लू ते एही नां होई गिया।",{575} टल्ही उ पहाड़ी नां है जेह्डे माता रँह्दी है। एह इक्क ऊचा पहाड़ी है। पैह्लें एह पहाड़ी टल्ही नां ने जानी जांदा था।
1086,"Long, long nights these",पला मिजों मुकी जांदे,लम्मी लम्मी रातियां इन्हां
1087,which you have walked on.,एह सड़क,जिस पर तुसां चलया
1088,The thief began to bite his tail in his teeth .,चोरे गुस्से च तिस दिया पूंछा जो अपनेयां दंदां च दबाई के चाबना शुरू करी दिता।,चोर अपणी पूंछ दादिएं च खुआई लैणा लगी पिया।
1089,That was the same every year.,इस ताऐं जोन्दै सिर्फ भ्यागा दिया बत्तरा ही डंगर चारने थे,सैह् हर साल इयां ही होंदा था।
1090,"The lack of work, the uncontrollable discussion of their clothes.",अपर पुरुषप्रधान समाजा जो कमाणे आलीयां नारां खरियां नीं लग्गदियाँ।,"नौकरी दी कमी, तिन्हादे कपड़ेयां दी बेनतीबू बहस"
1091,Now you ask why I did it.,"""","हुण पुच्छदे होणे, मैं कियां कियां कियां"
1092,"""Station 1 mile away"" the taxi driver shouted out loud but did not let Sidhu hear it",अपणे पुत्रे री कोटी पलोहे च दिखी करी तिसा री आत्मा प्रसन्न होणी कनै तिनै सुरगे बल्हा बरदान देणा ए,{844} स्टेशन इक्क मील दूर है। टैक्सीया चलाने आले जोरे ने रोणा लग्गी अपर सिद्धू जो एह नी सुणना दित्ता।
1093,7 What Do You Do for a Living?,तुहैं जीने तायें क्या करदे हन?,7 तुसां जीणे ताईं क्या करदे?
1094,"Her mother had not died, her beautiful world had been lost.","तिसरी मासी नी मोई थी, तिसरा छैल संसार गुआची गेया था","तिसा दी माऊ नी मरी थी, अपणी छैल दुनिया ही चली गई थी"
1095,"Mother: When the son comes, he will bring grass for the cows.",अम्माँ :- आंदी वारिया  घा वड्डी लयोंङ्गे गायी  बछुआँ  तांईं,अम्मा : बेटा जाल्हू औंगा तां गाईयां वास्ते घाऽ लेई औंगा।
1096,Written on the hearts like the Alphas.,अंगण दवार ओबरी संज्जी गेयो उआन,अल्फां सांईं दिले पर लिक्खेयो
1097,I'm helpless.,मैं बेसहारा हो गई हूँ,मैं बेमसाल ऐ।
1098,"Hi there. How are you this afternoon? I'm doing fine, now that work is over. How are you?",मिंजों  पता ऐ मिंजों बस टैम मिली गया। कया तुसा खेल दिक्खदे?,नमस्ते। तुसां अज दुपैहरा कदेह हन? मैं ठीक करा दा ए। हुण सेहत कम्म ख़त्म होई चुक्कियो। तुसां कदेह हन?
1099,"We'll leave alone, and no one will be with us.",चली जाणा छड्डी किल्लेयाँ साहंजो सौग्गी कुस्सी दे नी रैहणां -2,"असां छड्डी जाणा किल्ले, कन्नै कोई न हुंगा साड़े सौग्गी"
1100,156. I like horses.,155. मैं जानवरों से प्यार करता हूं।,155.मैं एक अच्छा आदमी हूँ।
1101,He would love to do the work and he would complain about the teak of the mango plant on his tiles.,"का जो छड्डी करी सारा साल तिन्नी टियाले पर सौणा, टियाले पर बैह्णा",सैह कम्म करना पसन्द करदा कने उदे टाईलां पर अंबू दे पौधे दे टिकूए दे बारे च उदी शिकायत हुंदी।
1102,"Then the Suram says, ""Be good to yourself"".",तिस ताई था पुच्छणां गेहया,अपर तिन्हां जो अपणे आपे च खरा बणाणा
1103,"Oh Lord, let the Prime Minister sit down too",आई जा परधान जी हुण एथू असां ने सौग्गी सट्टा दो चार पैग,ओ भगवान प्रधान मंत्री जी जो बी बैठी देया
1104,"Mother had to live in the countryside, but she was so ... (?) that she would shake every situation in minutes and breathe.",अम्मां ग्राईं परिवेश च जरूर रैहन्दी रही पर जीत इतणे जादा कि हर स्थिति जो मिनटां च भांपी जान्दी कनै हर करी की साह लैन्दी,मां ग्रांएं च रैहणा पौंदा था पर सैह इतणी ... (?) थी कि मिनटों च हर हालता जो झकझोरी करी सांस लैदी थी
1105,The hell with the heat,तुझको मिलेगा नर्क,नर्क औंदे जली
1106,Gold of the corn ears in the fields,देवि-देवतया री रीत लगो बड़ी प्यारी,सुणदे-सुणदे सुणदे
1107,393.I think it's only on the weekend.,"392. मैं पार्क में आराम करता हूँ, जो मुझे सुकून देता है,",392.मैं एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार में एक बार एक बार एक बार में एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार एक बार
1108,The Brahmin used to praise his Brahmin when he sat among many men,देई जणास ता किस्मता वाले जो ही मिलदी है,जाहलू ब्राह्मण कईयां लोकां दे बिच बैठी जांदा तां ब्राह्मण अपणे ब्राह्मने दी प्रशंसा करदा था
1109,Pets are known to improve the quality of life for the eye will.,पालतू पशुआं  जो आई विल ताईं जीनणे दी गुणवत्ता विच सुधार करने ताईं जाणेया जांदा है।,पालतू जानवर लोकां जो जीवन दी गुणवत्ता बधाने ताईं जानी जांदे हन।
1110,"Narad saw this and began to shout out loud, 'Someone give his whole heart to the Lord'",” इतना गलाई कन्ने विष्णु फेरी जोरा-जोरा ने चीडां मारणे लगी पेआ,नारदें एह दिक्खी करी जोरें-जोरें रोणा लग्गा- कोई अपणा सारा दिल्लिया जो परमात्मे जो देई दे
1111,Nothing is still wrong.,कुथू जबरी होई गेइयो बच्चा पढ़ने दी उमर नीं हुन्दी।,फिरी भी किच्छ ग़लत नी
1112,"And Surendra, bring your pledge.",कनै सरिन्द्रा तू भी अपणा इक जमानती लैई आ!,कनै सुरेन्द्र अपणा पंचा लेई औआ
1113,Mulh was also busy in morning - evening service.,सैह् अपणियां नूंहां जो पिंड-पड़ेस्से च कुसी नैं गल्ल नीं ही करना दिंदी।,मुल्हे जो भी भ्यागा संझा दी सेवा च बिजी रैहन्दा था
1114,748. You may have to record your play and dance.,"747.लेकिन मैं ऐसा नहीं कर सकता, जबकि मैं खेल रहा हूं। । जबरदस्त हंसी",747.मैं एक संगीत कार्यक्रम में गया।
1115,"258. Well, I have nothing to hide from my four daughters.",257.लेकिन मेरी भतीजी के पास एक कुत्ता है।,"257.मैं एक नर्स हूँ, लेकिन मैं एक नर्स हूँ।"
1116,Birds are dry,जित नीर ठंड़ा-छाओं घनेरी,पंछी सुक्कदे
1117,Resign or file a lawsuit,राजीनामा करना कि मुकद्दमा दर्ज करना,इस्तीफा देया या मुकद्दमा दायर कीता
1118,But the pot that is fed and watered without anyone and works out is rarely used in pot culture.,तां जे हौआ नां लग्गै कनैं मुसक सुरू वी बाहर नां पुज्जै-उडै कुथी,"पर जिस भांडे जो कुसी बाझी खुआई-पाणी करी बाहर कम्म करदा है, सैह भांडे दिया संस्कृति च शायद ही कोई इस्तेमाल होआ दा है"
1119,"Kashya came, Mathura came - 2.","कासी जाई आए,मथुरा जाई आए-2","कश्यम आया,मैथ्यूरा आया-2"
1120,They were very upset when they could not get food.,रोट्टी नीं मिलदी तां मते परेसान होंदे।,जाहलू खाणा नी मिलदा तां सैह् बड़े दुखी होई जान्दे थे।
1121,"A few days ago, Thakury's legs became heavy.",_____भागां कन्ने भूतां दा पता नी लगदा जे एह् काली जेहिआ अपणा फेरा पाई देन,कुछ दिन पैहले ठाकुरिया दे पैर भारी होई गये थे
1122,I only live for six months.,मै सिर्फ छिं महिनयां तायें जिंदा रेंहदा।,मैं सिर्फ छ मीहनेयाँ बासते
1123,The farm was mine. Why did you run the solution?,इक्की-दूए रे मत्थे दोषां मढ़दे,खेत मेरा था तूने सोल्यूशन कैंह चलाई दित्ता
1124,"The boy's father says, ""I remember what you said about the refrigerator.",भाड़ दा रूआज यार बड़ा ई लम्मां-चौड़ा ए-,मुंडुए दा बापु गलाणा लग्गा मिंजो आद ए कि तुसां रेफ्रिजरेटर दे बारे च क्या गलाया था।
1125,The flower weight was reduced and the sonkesi weight increased.,312.   तिसा बैहन्दिया ही छाबा बी बेही गिया। अज्ज फुल्लां दा भार घट्ट निकळेया कनै सोनकेसिया दा भार बधी गिया था।,{575} फुल्लदेयां दा भार घटया कनै सोनकेसी दा भार बधिया।
1126,"The viewer, the listener, finds himself in some form.","रेडियो ते सुणी के जां स्टेजे पर दिक्खी के इजा औजदा ऐ जे असा अपणे ही घर, गली जां मुहल्ले दी कुसी बीतिया गल्ला जो सुणा जां दिक्खा करदे हां",कोई न कोई रूप पाई लेया
1127,"See, Ram had slept more deliberately, becoming more clever.",है न ?,"तिन्नी गलाया, भई, मैं तां गलाया, जे कोई गल्ल नीं करदा तां तिसजो नीं सुणना पौणा"
1128,Thaddeus was very happy to get the horse.,राजे तिस्सेओ इक घोड़ा दित्ता,तिन्नीं तिसा जो घोड़ा देई दित्ता
1129,The desire to meet and see grew day by day.,मिलने कनै दिखणे दी चाह दिन-प्रतिदिन बधदी चली गयी,मिलणे-मिळे दी लालसा दिनें-प्रतिदिन बधदी गई
1130,789. Do you like teaching?,788.मैं एक बिजली मिस्त्री हूं।,788.मैं एक नर्स हूँ।
1131,4 My goal is to finish a book before I die.,मेर मकसद ए कि मै मरने ते पैले इक कताब पूरी करी लूं। लिखना या पढना। मिंजो असल च नोकरिया दी लोड एमेरे दो न्याने हन।,4 मेरा मकसद है कि मरने ते पैले इक्क कताब ख़तम करी लै।
1132,6 Because of my journey.,मेरी यात्रा दी बजह।,6 मेरीया सफ़रे दे कारण।
1133,Do you like tattoos?,कया तुहां समुदरे दे तटे दे कन्नै रैहदे न ?,क्या तुहां जो टैटू पसंद हन?
1134,"which is not written, but is buried in the heart for itself.","जो नी लिक्खेया,है दफ़न दिले च अप्पु वास्ते","जे लिखया नी, अपणे-अपणे वास्ते दिलेच दफन होई जांदा"
1135,Two out of 100 notes were signed by the Minister,घर पाई मत बैठा,सौ च दो नोट मंत्री जी दा दस्तखत होई गेया
1136,And trade honour.,हण छड्ड मुसाफ़िर हेरा-फेरी,कनै व्यापारिक सम्मान
1137,"Nûr, who was so much mounted",दिखदे ई हाख मटोई थी जांदी,"नूर, जो इतणा सवार था"
1138,1330. I like dogs!,1329.मेरे दो कुत्ते मुझे कंपनी में रखते हैं।,1339.मैं एक कुत्ते के रूप में काम करता हूं।
1139,"Shyam asks Kalyan, ""Now tell me, uncle, what kind of ritual is this?","सस्स सौहरे खरे होंन, तांविनी, अपंण जे होंन ई सेयो देह, तां तिन्हां ते मौदेंयाँ-बैंह यां, उठदेंयां मिड़को","तिन्नीं अपणिया माऊ जो गलाया, 'मैं अपणिया माऊ जो गलाया, 'मैं अपणिया माऊ जो गलाया, 'मैं अपणिया माऊ जो गलाया, 'मैं अपणिया माऊ जो गलाया, मैं अपणिया माऊ जो गलाया, मैं अपणिया माऊ जो गलाया, मैं अपणिया माऊ जो गलाया, मैं अपणिया माऊ जो गलाया, मैं अपणिया माऊ जो गलाया"
1140,Pharmaceutical industry in Sirmour,सिरमौरे च फार्मासूटिकल इंडस्ट्री,सिरमूरे च फार्मास्युटिकल इंडस्ट्री
1141,"I need to wash them, clean them, wax them, fix them, dry them.",हां हां थोड़ा लग।,"मिंजो तिन्हा जो धोणे, साफ करने, स्याके करने, ठीक करने, सुकने दी जरूरत है।"
1142,Testing the mountains and rivers,पौणीं रा एक तगड़ा ल्होला,पहाड़ां नदियां परखणे
1143,"If one of the next generation of children can read and understand this work, I would consider my efforts a success.",तिन्हां दी सुबधा खात्तर ई मैं किच्छ सबदां /शब्दां दा हिन्दिया कनै अंग्रेजिया च बि अनुवाद कित्तेया ।,जे अगली पीढ़िया दे बच्चेयां च कोई इस रचना जो पढ़ी समझी सकदा तां मैं अपणे इस प्रयास जो सफल मन्नदा।
1144,1006. I give a lot of my vegetables to veterans.,1005.कबाड़ कुछ? क्या तुम काम करते हो?,1005.मैं एक नौसेना अधिकारी हूं।
