Hindi,English
जब पांच वर्षों के पश्चात् पुनः चुनाव आए तो उसने अपनी टेढ़ी चाल चलना आरम्भ कर दी।,"When the elections came again after five years, he started his own curvy streak."
इस बार पंचायत पुरुषों के लिए आरक्षित हो गई।,This time the panchayat was reserved for men.
चार प्रधान खड़े हो गए,Four chieftains stood up
"और पंच तथा पंचनियां भी एक-एक बार्ड में तीन-तीन, चार-चार खड़े हो गए/हो गईं।","And the Punch and Punchaniya also stood three, three, four, four in each ward."
"प्रधान पद के लिए लुभिया, सीह्नू, हीरा और कर्मा खड़े हो गए।","For the prime position, Luvia, Sehnhu, Hera and Karma stood."
"हमारे बार्ड में भूतिया, फींगू और सिंघो ने पंचों के परचे भर दिए।","In our bar, ghosts, fungi and singhs filled the shelves of punches."
इस बार उप-प्रधान के परचे नहीं भरे गए।,This time the Vice Prime Minister 's questionnaires were not filled.
अब प्रधान को जो पंच बने थे,Now the chief who became the punch
उन्होंने ही चुनना था।,They had to choose.
यह नियम बन चुका था।,It was the rule.
"प्रधान, समिति सदस्य और जिला परिषद् सदस्य तो एक-एक बार मेरे पास वोट मांगने आए","The chief minister, committee members and district council members came to me once after another to ask for a vote."
"परन्तु भूती प्रति दिन शाम, सुबह, दोपहर जब भी समय मिले मेरे पास आकर दिमाग को खूब चाटे","But the ghost came to me every evening, morning, afternoon, whenever it was possible, and it was very much in my head."
"ऊपर-नीचे, आगे पीछे सभी वोट मेरे हैं।","Up and down, back and forth, all the votes are mine."
आपके वोट बाहर नहीं जाने चाहिए और इस बार उप-प्रधान मैं ही बनूंगा।,Your votes should not go out and this time I will be the Deputy Prime Minister.
जब नई-नई पंचायत बनी थी,When the new Panchayats were formed
तो यह पांच वर्ष उप-प्रधान रहा था।,So he was Deputy Prime Minister for five years.
तब इसने श्मशान घाट को पक्का बनाने के लिए लोगों से पैसे इकट्ठे किए थे।,He had then raised money from the people to make the cemetery a good place.
कुछ सरकार ने भी दिया था।,Some were given by the government.
श्मशान घाट तो बनाया परन्तु लैंटर गिर गया।,The cemetery was built but the lantern fell.
खम्बों में केवल एक-एक पतला सरिया डाल कर लैंटर डाल दिया।,Putting only one thin layer in the pillars and putting the lantern.
उसने कहां बचना था,Where he had to escape
गिर गया।,It fell.
"सभी लोग कह उठे, जिसने श्मशान घाट का पैसा नहीं छोड़ा, वह और क्या छोड़ेगा।","Everyone was asking, whoever did not leave the money of the cemetery, what else would he leave?"
जिस समय लुभिया नया-नया प्रधान बना,When Luvia became a newly appointed head of state
तो उसने वह श्मशान घाट उखाड़ कर दोवारा ठीक करके बनवा दिया।,So he tore down the tomb and repaired it.
किनारों पर सीमेंट की कुर्सियां भी बनवा दी।,Cement chairs were also built on the sides.
वर्षा से बचने के लिए एक बैठने हेतु वर्षालय भी बनवा दिया।,A rain hall was also built to house the people to sit in to avoid the rain.
सिंघो कोई तीन-चार बार मेरे पास आया।,Singh came to me three or four times.
ऐसे ठीक अवस्था में नहीं।,Not in such a good state.
काफी चढ़ा कर आता था।,It was a lot of climbing.
नशे से लोट-पोट होकर वह वोट मांगता था।,He was drunk and asked for a vote.
मेरे पास आकर वह भी शेखी बघारता था,He came to me and he was proud.
उप-प्रधान तो मैं पक्का हूं।,I am sure of it.
इस बार लुभिये के साथ चलने वाले वह लोग थे,This time it was the people who were walking with the Lubei.
जिन्हें दूसरे लोग भी नहीं चाहते थे।,which other people didn 't want.
"गांव का महिला मण्डल, और भी महिलाएं, बुद्धिजीवी लोग सीह्णू के हक में लोगों को वोट डालने के लिए कहने लगे।","The village women's board, and even more women, intellectuals, began to ask people to vote in favour of Sihanouk."
"कम लुभिया भी नहीं था, उसने भी अपना जाल बिछा रखा था","There was no less Lovia, she had laid her net too."
"परन्तु जब युवक मण्डल, महिला मण्छल, बुद्धिजीवी लोग तथा सभी जातियों के पुरुष-स्त्रियां सीह्नू के लिए वोट मांगने निकले","But when the youth, the women 's mines, the intellectuals and the men and women of all races came out to vote for the Sinhu"
तो लुभिये को दिखाई देने लग पड़ा कि अब काम ठीक नहीं है।,So Louvie began to realize that the work was no longer right.
"उसने भी अपना साम-दाम, दण्ड-भेद लगाना आरम्भ कर दिया।",He also began to impose his own punishment.
लुभिये का एक संबंधी सरकार में ऊंचे स्थान पर था।,A relative of Luvie was in high office in the government.
उसका नाम किरपू था।,His name was Kirpu.
उसका काम था,It was his job.
कर्मचारियों का परिवर्तन करवाना।,Making changes in the staff.
उनको उनके इच्छित स्थान पर लाना,Bringing them to their desired place
परन्तु बदली उसकी होती जो सही चढ़ावा चढ़ाता।,But the reward was for the one who offered the right sacrifice.
ज बवह घर आता तो उन कर्मचारियों का मेला लग जाता।,"When he came home, the employees would be happy."
जो हाथ पांव बिना हिलाए बड़ी मछली उसकी।,A big fish that moves without its hands and feet.
उसने कर्मचारियों को धमकी दी कि जो वोट लुभिये को नहीं डालेगा,He threatened the employees that he would not cast a vote.
तो उसकी दूर बर्फीली पहाड़ियों में बदली करवा दी जाएगी।,Then its distance will be turned into snow - covered hills.
वह स्वयं भी लुभिये के हक में विशेष लोगों से बैठकें करने लगा।,He himself began to meet with special people in favour of the Lubei.
एक दिन वह एक चालक के घर जा पहुँचा।,One day he went to the house of a driver.
उसे ज्ञात हुआ था कि यह सीह्नू के साथ चला हुआ है।,He knew that it was going on with Seenu.
"घर जाकर वह उसे डराने लगा परन्तु उसने भी झट उत्तर दिया बदली कर दोगे, तब क्या होगा।","He went home and began to frighten her, but she too responded quickly, ""What will happen if you turn her away?"""
यहां भी चक्कर घुमाऊंगा और,I 'll turn around here too and
वहां भी चक्कर ही घुमाऊंगा।,I 'll go around there too.
न तो को सितारे लगेंगे और नही उतरेंगे।,"Nor will they reach the stars, nor will they descend."
यह सुनकर किरपू बुरा सा मुँह बनाकर चुपचाप उठकर चला आया था।,"When Kirpu heard this, he turned his face and walked away quietly."
उधर सीह्नू ने भी अपनी पूरी शक्ति लगा दी।,Seeno also devoted his full strength.
"वैसे भी उसके साथ गांव के अच्छे-अच्छे पुरुष, औरतें चले हुए थे।","However, there were good men and women from the village who accompanied him."
एक दिन सभी ने मिलकर एक मीटिंग की।,"One day, they all met together."
उसमें यह निर्णय लिया कि वोटों वाले दिन से पहले वाली रात बहुत ही खराब होती हैं।,It decided that the night before the day of voting is very bad.
उसे सम्भालना बहुत आवश्यक भी है।,It is also very important to take care of it.
"जो भी हेरा-फेरी होती है, पैसे और शराब बांटा जाता है, वह यही रात होती है।","Any cheating, money and alcohol distribution is the same night."
बहुत भूखे लोग।,Very hungry people.
पाॅव और आधे के पीछे बिक जाते है।,Pave and half are sold.
इस रात को पूरी नाकाबन्दी होनी चाहिए।,This night should be a complete blockade.
इस चाल को बहुत से पुराने खिलाड़ी चलते हैं,This is a move many older players take.
और लुभिये ने भी ऐसा ही करना है।,And Lovies must do the same.
वह पैसे भी बांटेगा और शराब भी पिलाएगा।,He will also distribute money and drink wine.
वह पुराने खिलाड़ी नुर्दए का शिष्य है,He is a disciple of the old player Nurdhai.
और किरपू भी आजकल यहीं है।,And Kirpu is here today.
यह चुप नहीं रहेंगे।,They will not remain silent.
करते-करते भयानक रात भी आ गई।,The night was terrible.
सीह्नू के सभी कार्यकर्ताओं ने दिन छिपते ही सभी बार्डोे में नाकाबन्दी कर दी।,All the workers of Sejno closed all the bardoes at sunset.
ऐसा प्रतीत होने लगा,It seemed to be.
जैसे ठीकरी पहरा लगा हुआ है।,Like a fence guarded.
दूसरी ओर लुभिये के कार्यकर्ता भी बार्डों के चक्कर लगाएं परन्तु बाहर से ही।,"On the other hand, the workers of the Lubei should also go around the bars but from the outside."
सीह्नू के आदमियों को देखकर उनको लोगों के घरों में जाने का साहस नहीं हुआ।,"Seeing the men of Sihnhu, he did not dare to go to the people 's houses."
इसी प्रकार रात के ग्यारह-बारह बज गए।,So it was eleven and twelve o'clock in the night.
कहीं से दो बैनें आई और चक्कर लगाने लग पड़ी।,Two banners came from somewhere and started circling.
वह शराब की पेटियों से भरी हुईं थी।,It was filled with cans of wine.
जहां-जहां उनके ठिकाने थे,wherever they were stationed.
वहां सीहनू के आदमियों ने नाकाबन्दी की हुई थी।,There the men of Sihon were besieged.
वास्तव में उन बैनों को खड़ा ही नहीं होने दिया।,"In fact, they didn 't let the bans stand."
अन्ततः वह बनेरी की ओर चली गई।,Then she went to Baneri.
रात के कोई डेढ़-दो बजे तब लुभिया और किरपू चादरें ओढ़ करके अपने घर से निकले और एक बार्ड में घुसने ही वाले थे,"At about two and a half o'clock in the night, Libia and Kirpu left their house, clothed in sheets, and about to enter a bar."
तब इधर-उधर सीटियां बजने लग पड़ी।,Then the seats began to ring.
शोर मचने लगा।,The noise started to go up.
लेते-देते सभी औरतें भी अपने-अपने घरों से निकल आईं।,All the women left their homes.
जब लुभिया और किरपू ने यह सब कुछ देखा,When Luvia and Kirpu saw all this
कि अब काम ठीक नहीं है,That the work is no longer right
तो उन्हें झाड़ियों में से भागते हुए रास्ता नहीं मिला।,So they couldn 't find a way to escape through the bushes.
"सभी यह गए, वोह गए करते ही रहे","They all went, they went, they kept doing it."
परन्तु पता ही नहीं लगा,But I didn't know.
कहां छुप कर बैठ गए या भाग गए।,where they hid or fled.
यदि उस दिन हाथ लगजाते तो बोटी भी हाथ नहीं आती थी।,"If they had been hand - in - handed on that day, the boat would not have been hand - in - handed."
शोर सुनकर सारी पंचायत जाग पड़ी।,The whole Panchayati woke up to the noise.
उस दिन सोम के पास मूबी कैमरा होता तो बहुत बढ़िया सिनेमा बनना था।,"If Som had a Movie Camera that day, it would have been a great movie."
फिर नींद किसे?,Then sleep who?
बातें करते हुए सुबह होने लग पड़ी,And they began to speak in the morning.
और सीह्नू के कार्यकर्ता पाठशाला की ओर वोट सूचियां लेकर चले गए।,And the workers of Seenhu went to the school with the ballots.
वहां पहुंच कर उन्होंने अपना बूथ सजा दिया।,They arrived and decorated their booth.
इधर-उधर से लकड़ियां इकट्ठी की और लोहे के बड़े बर्तन में आग जलाकर सेंकने लग पड़े।,He gathered wood from around it and set it on fire in a large iron pot.
दिसम्बर महीना ठण्ड बहुत थी।,December was very cold.
सीह्नू के बूथ के पास ही लुभिये के आदमियों ने भी अपना बूथ सजा दिया।,The men of Lubei also decorated their booth near the booth of Sihnu.
पाठशाला के कमरे में वोट डलवाने वाले सरकारी कर्मचारियों ने भी अपनी तैयारी कर ली।,Government employees who were voting in the classroom also prepared themselves.
दोनों ने अपने-अपने पोलिंग एजेण्ट बना कर बिठा दिया।,Both of them became their polling agents.
लोग वोट डालने के लिए आने लग पड़े।,People started coming to vote.
सूर्य भी उदय हो गया।,The sun also rose.
औरतों और पुरुषों के समूह आएं,Groups of women and men come
तथा बूथ के पास जाकर पर्ची लेकर वोट डाल कर चले जाएं।,And go to the booth and get the slip and vote.
देखते-देखते कमरों के सामने लम्बी पंक्तियां नग गई।,The long lines in front of the rooms were blurred.
सचमुच उस दिन बहुत सारे वोट पड़े।,There were actually a lot of votes that day.
खड़े तो चार थे,There were four standing.
परन्तु प्रतियोगिता दो में ही रही।,But the competition was in two.
"दोनों के लोग आगे-पीछे, इधर-उधर आएं-जायें","Both of them go back and forth, back and forth."
तथा कुछ एक स्थान पर इकट्ठे होकर अपना-अपना अंदाज़ा लगायें।,And some of them gather in one place and imagine themselves.
सीहनू और उसके लोग इस बार पूरी तरह चैकन्ने थे।,Seeno and his men were completely cheeky this time.
पल-पल सभी कमरों देखने जाएं।,Go to all the rooms from time to time.
पिछली बार तो कितने ही वोट मुर्दे डाल गए थे।,"Last time, many votes were cast."
इस बार पूरी खोज-खबर रखी गई।,This time the full search was kept.
जब तनिक भी संदेह हो तब सभी चैकन्ने हो जाएं।,"When there is even a slight doubt, all the people should be cheated."
लुभिया भी हाथों को छाती में छुपाकर कभी इधर जाए तो कभी उधर,"Lovia also hides her hands in her chest, sometimes going here, sometimes going there."
तथा कभी वृक्ष के नीचे पीठ लगाकर खड़ा हो जाए।,And sometimes stand with his back under the tree.
जो लोग अन्दर वोट डालने जाएं,People who go inside to vote
तो वह पीछे से उनके पांवों के स्थान पर झुक जाए,So let him bow back to his feet.
और वहां की मिट्टी उठाकर थोड़ी देर हाथ में लेकर मसलता रहे,And they took the earth and made it a little.
फिर इधर-उधर देख करके कि कोई देख तो नहीं रहा है,"Then he looked around, and no one was looking."
उस मिट्टी को फूंक मार कर उड़ा दे।,blow that soil up.
देखते-सुनते शाम के पाँच बज गए और वोट पड़ने बन्द हो गए।,It was five o 'clock in the evening and the vote was stopped.
इस पंचायत में पांच वार्ड हैं,The panchayat has five wards.
इसलिए पांच कमरों में वोट पड़े।,So there was a vote in five chambers.
अब पांच कमरों के वोटों वाले संदूक उठाकर एक कमरे में इकट्ठे कर दिए।,Now the five - chamber ballot box was raised and put together in one room.
पुलिस का पहरा लग गया।,The police were on guard.
सभी बाहर निकाल दिए।,All of them were kicked out.
"सभी कर्मचारियों ने चाय-पानी पिया, थोड़ा आराम किया","All the employees drank tea, rested a little."
फिर उन्होंने खड़े हुए पंच,Then they stood up and punched
और प्रधान अन्दर बुला कर कमरा बन्द कर दिया।,And the principal called in and closed the room.
बाहर लोगों का मेला लग गया।,People gathered outside.
समूहों के समूह इधर-उधर बैठे अपना-अपना अंदाजा लगाएं।,Imagine groups of people sitting around.
कोई कहे फलाँ वार्ड का फलां पंच ही जीतेगा और प्रधान इस बार भी लुभिया ही बनेगा।,Some say that the Falan Punch of the ward will win and the Pradhan will be the Luvia again.
कोई सीह्नू को जिताए तो कोई बहंसने लग पड़े।,"If one of them wins the Sehnhu, one of them starts to bark."
कोई गिनती वाले कमरे के पीछे जाकर,Going to the back of a counting room
खिड़कियों के झरोखों से देख कर आएं और कहें,Look out the window sills and say
फलां पंच के वोटों का ढेर काफी ऊंचा है।,The pile of votes of the Phanch is quite high.
वह पंच बन ही जाएगा।,He will become a punch.
थोड़ी देर के बाद परिणाम निकलने लग पड़े।,"After a while, the results started to come out."
पहले पंचों के परिणाम निकले।,The results of the first punches came out.
फिर बारी आई प्रधानों की।,Then came the turn of the chieftains.
थोड़ा समय हुआ और लुभिये के समर्थकों ने नारे लगाना आरम्भ कर दिए,"After a while, supporters of the Lubei began chanting."
हमारा लुभिया जिन्दाबाद!,Our Lovian Zindabad!
"विजय हुआ भई विजय हुआ, हमारा लुभिया विजय हुआ।","Victory was won, our Luviya victory was won."
देखते-सुनते एकदम खूब शोर पड़ गया।,The noise was very loud.
यह सुनकर थेड़े समय के लिए सीहनू के समर्थक हक्के-बक्के हो गए।,"When they heard this, the supporters of Sihon were shaken for a while."
तब एक समर्थक दौड़ता हुआ आया और कहने लगा,"Then a supporter came running and said,"
यह सब झूठ है।,This is all a lie.
अफवाह फैला रहे हैं।,Rumors are spreading.
हमारे वोटों वाली ढेरी सबसे ऊंची है।,Our votes are the highest.
मैं खिड़की के झरोखें से देखी,I looked out the window sill.
औ निश्चिन्त होकर आया।,And came in safety.
"इधर-उधर फिरते-घूमते, लेते-देते प्रधानों का परिणाम भी निकल गया।","The result was also the result of the rulers walking around, taking and giving."
दो को तो तीस-तीस और बत्तीस-बत्तीस ही वोट मिले,Two received only thirty - thirty and thirty - thirty - two votes.
परन्तु प्रतियोगिता लुभिये और सीह्नू में ही रही।,But the competition was held in Lubyi and Sehnhu.
लगभग दो सौ वोटों से लुभिया हार गया,Luvia lost by almost two hundred votes.
और बुरा सा मुँह बनाकर अपने विशेष समर्थकों के साथ चुपचाप वहां से चला गया।,And he quietly left with his special supporters.
सीह्नू के समर्थक प्रसन्न होकर नाचने लगे।,The supporters of Seenhu began to dance with joy.
उन्होंने सीह्नू को फूलों की मालाओं से भर दिया।,He filled the Sehnhu with flowers.
बाजे वाले भी पहले ही आ गए थे।,The left - handed had already arrived.
उनका काम जो विजय होगा उसकी,and their work will be victorious.
ओर बाजा बजाने लग पड़ना।,And the market is playing.
बाजा बनजे लगा और सीह्नू के समर्थकों ने नाचना आरम्भ कर दिया।,The bazaar began to be danced and the supporters of Seenhu began to dance.
"कुछ दोह्रे समर्थक भी होते हैं, जो हवा की दिशा देखकर काम करते हैं।",There are also some dual proponents who work by looking at the direction of the wind.
आधे से भी अधिक लुभिये के लोग वहां आकर नाचने लग पड़े,More than half of the people of Louvière came and danced.
और सीह्नू वहां आस-पास घर-घर जाकर सभी का धन्यवाद करता रहा।,And Seenhu went around the area from house to house and thanked everyone.
शाम के सात बजे से चले हुए सभी गांव वालों का धन्यवाद करते-करते रात के लगभग ग्यारह बजे घर पहुंचे।,"After leaving at 7 pm, they returned home at around 11 pm, thanking all the villagers."
सीह्नू के घर में भी लगभग अढ़ाई-तीन बजे तक ढोल-ढमाका होता रहा।,Drumming continued at Seenhu 's house for about three and a half hours.
हमारे वार्ड में पंच सिंघो विजयी हुआ।,Panch Singh won in our ward.
भूती और फींगू हार गए।,The ghosts and the fungi lost.
किसी ने खुशी की तो किसी ने गम की खूब शराब पीली।,Some were happy and others drank a lot of gum.
लुभिये के चार-पांच दोस्तों का एक समूह छिपकर गौशाला के एक,A group of four or five friends of Luevié hid in a cave.
ओर दीवार के साथ पीठ लगाकर बैठा हुआ था,and sat with his back against the wall.
और पास ही बोतल रखी हुई थी,And nearby was a bottle placed.
जिसे अंधेरे में ही बिना पानी के पीते हुए यार भैया! मैं तो बहुत ही रोया।,"I cried so much, my brother, drinking without water in the dark."
जब पता चला कि लुभिया रह गया है,When it was discovered that Lovia had left
तब तो मेरा कलेजा ही टूट गया।,Then my liver broke.
अब क्या करें ?,What do we do now?
जो होना था वह हो गया।,What was to happen happened.
यदि महिला मण्डल तथा और लोग साथ होते तो हम कभी भी हारते नहीं थे।,"If the women 's team and others had been together, we would never have lost."
इसे सगरान्दू के साथ पंगा लेना ठीक नहीं रहा भाई।,"It was not right to take it with Sagrandhu, brother."
एक दोस्त ने झूमते-झूमते कहा।,"A friend said, ""Shut up."
वैसे तो यह भी अपने आप से बाहर ही हो गया था।,"By the way, it was also out of its own way."
इसने सगरान्दू के साथ ही पंग्गा नहीं लिया।,It didn 't just break up with Sagrandhu.
पहले भी तो खुर्दी की पत्नी अकेली घर जाकर मारी थी।,"Earlier, Khurdhi 's wife had gone home alone and killed him."
फिर नीचे वालों की सन्तो भी।,And the descendants of the lowly.
"क्यालू, यार! डालो घूंट।","Callow, man, throw the ball."
चतरो ने कहा और खाली गिलास आगे किया फिर चुप हो गया।,Chatro said and poured the empty glass forward and then he was silent.
महालो ने गिलास में उडेली और चतरो झट्ट चढ़ा गया।,Mahalo jumped into the glass and the cataract suddenly climbed.
मुझे भी डाल यार! बुद्धियें भी गिलास आगे रख दिया और महालो ने भरकर पैग डाल दिया।,The wise men also put the glass ahead and the Mahalo filled the bag.
गिलास पकड़ कर बुद्धिया भी बोल पड़ा,The wise man also spoke with a glass.
हां यार! बात तो तूने सोलह आनें कही।,"Yeah, man, you said 16 to go."
चोरों से कहता तुम चोरी करो और पहरेदारों को बोलता तुम जाग जाओ।,He tells thieves to steal and tells the guards to stay awake.
"जिस पत्ते में खाता है, उसी में छेद कर देता है।","The leaf in which it eats, it makes a hole in it."
"मरने दो साले को, हार गया तो हार गया।","Two years to die, lost, lost."
अब हमने क्यों तनाव लिया है?,Why are we stressed now?
तुम डालो यार! समाप्त कर इसे,You throw it man!
फिर अपने-अपने घर जाकर सोते हैं।,Then they go home and sleep.
खोजू ने बची हुई शराब की बोतल सभी के गिलासों में थोड़ी-थोड़ी डाली,The searcher poured the remaining bottles of wine into everyone's glasses.
और समाप्त करके उधर फैंक दी।,And then he finished and he flung it over.
उसे भी सभी एक ही घूँट में बिना पानी के ही पी गए।,They all drank it in the same cup without water.
यारो! अब गुजारा हो गया है।,It's over now.
चलो अब सो जाते है।,Let's go to sleep now.
भानू ने फिर कहा और सभी हिलते-डुलते उठे फिर ठोकरें खाते-खाते अपने-अपने घरों को चले गए।,"Bhanu said again and all stood up in trembling and went home, stumbling and eating."
"घर पहुंचे, नहीं पहुंचे, कैसे पहुंचे यह जानकारी उन्हें ही है।","They have the information about how to get home, not to get there."
वह रात समाप्त हो गई।,That night was over.
सुबह हुई और नया सूर्य भी चमकता हुआ चढ़ आया।,It was morning and the new sun also shone.
बाग वालों का लड़का भातो बाजार से समाचार पत्र लाने जा रहा था,The gardener's boy was going to get newspapers from the rice market
तब उसे रास्ते में एक स्थान पर सात-आठ लोग खड़े धूप सेंकते हुए मिले।,Then he met seven or eight people standing in a place burning incense.
उनमें भूती और फींगू भी उतरा हुआ चेहरा बनाकर खड़े थे।,Ghosts and fungi also stood with their faces down.
जैेसे ही भातो उधर से लांघने लगा,As the rice began to pass through
"और भूती ने ताली बजाकर हाथ जोड़े और कहा, महाराज बहुत-बहुत धन्यवाद।","The demon clapped his hands and said, ""Master, thank you very much""."
आपने मुझे वोट डाले।,You voted for me.
उसकी यह बात सुनकर भातो से भी रहा नहीं गया।,His words were not to his heart 's content.
"उससे हंसते-हंसते बात निकली, पंगा भी क्यों लिया?","He laughed and laughed, why did he even take a bang?"
अपनी इच्छा से दो-चार लोगों के उक्साने पर तब किसलिए खड़े हुए?,Why did they stand when they were provoked by two or four people?
आज वह जमाना नहीं रहा।,Today he is not a man.
लोग बहुत समझदार हो गए हैं।,People have become very intelligent.
आज सभी सोच समझ कर ही आदमीं ढूंढते और काम खराब वही करते हैं जो पाव-आधे में बिकते हैं।,"Today, all men find and do bad things with their minds set on what they sell for half a pound."
वह कभी भी नहीं समझे न ही उन्होंने कभी समझना है।,He never understood nor will he ever understand.
सारी समझ तो डौंकों ने निगल ली है।,All the intelligence has been swallowed up by the bees.
वह तो केवल पाव-आधे की ही भाषा समझते हैं।,They only understand the language of the half - foot.
कहते-कहते भातो बाजार की ओर खिसक गया।,They say that rice has slipped towards the market.
"बाजार में इधर-उधर तीन-तीन, चार-चार लोगों के समूह खड़े होकर ऐसी ही बातें कर रहे थे।",Groups of three or three or four people were standing around in the marketplace talking like this.
कईयों ने गम के कारण सुबह ही चढ़ा ली थी।,Many had climbed in the morning because of grief.
एक धक्के खता चल रहा था।,There was a bump going on.
वह लुभिये का विशेष कार्यकर्ता था।,He was a special worker of Luvie.
खूब पीए हुए था।,He was drunk.
चला भी नही जा रहा था,It wasn 't going away
और बातें भी लड़खड़ा रही थीं,And there was talk.
उधर से गाह्ला भी आ रहा था।,There was also a ghastly coming from there.
"वह उसके पास पहुंचा और उसने कहा, महाराज! मुबारकां।","He came to him and said, ""Major!"
यार! मुझे क्यों मुबारक दे रहा है।,"Man, why are you congratulating me?"
मेरा प्रधान तो हार गया है।,My chief is lost.
उसने इतना ही कहा और डोलता हुआ नीचे वाले रास्ते उतर गया।,"He said so and went down the paths, trembling."
वैसे एक ही व्यक्ति बार-बार नही जिताना चाहिए।,The same person should not win over and over again.
उसका दिमाग खराब हो जाता है।,His mind is damaged.
नए लड़कों को भी अवसर देना चाहिए।,New boys should also be given opportunities.
सभी का ही अधिकार है।,Everyone has the right.
गाहला भी कहता-कहता पहाड़ी के रास्ते उतर गया।,Gahala also said that he went down the hill.
"दिन गए, सप्ताह-महीने भी चले गए।","Days went by, weeks went by."
धीरे-धीरे चुनावों का शोर भी बन्द हो गया।,The sound of the elections gradually stopped.
सभी अपने-अपने कार्यों में व्यस्त हो गए।,Everyone became busy with their own affairs.
कहते हैं चोर चारी करना छोड़ देगा,They say thieves will stop grazing
परन्तु हेरा-फेरी नहीं छोड़ सकता है।,But he can 't leave the look - back.
एक दिन लुभिये के सरीकों की एक बुढ़िया मर गई।,One day an old woman from the Lviv community died.
घर वालों ने उसके शोक दिवस रक्खे।,The family kept his day of mourning.
शोक दिवसों में शाम को आस-पास के संबंधी लोग बैठने आते हैं।,"On the days of mourning, relatives come to sit in the evening."
यह कठिन दिन होते हैं,These are hard days.
ऐसे ही रात को बातें करते-करते व्यतीत होते हैं।,Such is the night spent talking.
लुभिया भी वहां प्रति दिन शाम को वहां जाकर बैठता था।,Lovia also used to go there every evening.
एक दिन शाम को भातो और गाह्ला भी वहां बैठने गए।,One evening Bhatto and Ghahla also went to sit there.
वहां लुभिया भी बैठ कर शेखी बघारे,There was also Lovia sitting and boasting.
यारो! अब तो मैं बहुत सुखी हूं।,I am very happy now.
कोई तनाव नहीं,No stress
आनन्द से नींद भर कर सोता हूं।,I sleep with joy.
अब तो मैं कभी भी चुनाव नहीं लड़ूंगा।,I will never contest elections now.
सुनकर गाहले से रहा नहीं गया।,He was not satisfied.
उसने कह ही दिया यार! अब तूने और क्या कहना है।,"He said, ""Man, what else do you have to say?"""
दिल को इसी प्रकार बातें करके राजी करना तो राजी कर ही लेना हैं।,Convincing the heart by speaking like this is to convince.
अब हारे हुए बैल ने गोबर ही तो करना है,Now the lost bull must go to the cow.
तथा डरावनी दृष्टि से देखना भी है।,And to look at it with a scary eye.
गाह्ले की इस बात पर सभी जोर से हंसे,All laughed loudly at Ghaghley 's speech.
और लुभिया चुचाप वहां से उठ कर भाग गया।,And Lovia quietly got up and ran away.
दीपक ने बहुत ही गरीब घर में जन्म लिया।,Deepak was born in a very poor house.
छोटी आयु में ही पिता का स्वर्गवास हो गया,"At a young age, my father became a resident of heaven."
ज बवह दो वर्ष का था।,He was two years old.
माँ ने मेहनत-मज़दूरी करके पालन-पोषण किया,My mother worked hard to raise me
दुःख-सुख सहते हुए दसवीं कक्षा तक पढ़ाया।,"He taught till the tenth grade, suffering."
माँ भी बूढ़ी हो गई।,My mother also got old.
घर का खर्चा चलाने के लिए मेहनत-मज़दूरी करने लग पड़ा।,I had to work hard to pay for the house.
नौकरी के लिए कई साक्षात्कार दिए।,He gave many job interviews.
"आगे-पीछे कोई था नहीं जो सहायता करता, शिपारस लगाता।","There was no one to help, to help, to send shippers."
जो कमाया जाता उसे चुल्हा खा जाता।,The earned would eat the stump.
"भूमि-खेत होता, वह भी नहीं।","There would be land-farming, not even that."
बुजुर्गों की भी कोई सम्मपत्ति नहीं थी,The elderly were not even close.
जिससे गजारा चलता।,which drives the gas.
तब सरकार की ओर से भी इतनी योजनाएं नहीं होती थी,The government did not have such plans then.
जिस प्रकार आज हैं।,as they are today.
जो थीं भी,Whatever they were
उनसे वही लोग लाभ लेते थे,They were the ones who benefited from it.
जो चुस्त-चालाक और राजनीति के साथ जुड़े रहते थे।,who were cunning and involved in politics.
सत्रह वर्ष की आयु से लगा था मेहनत करने दीपक।,"From the age of seventeen, Lamp began to work hard."
आज सताईस्वां वर्ष भी समाप्त हो रहा है,Today the seventy - second year is also ending.
परन्तु उसके लिए तो वही मेहनत और वही मज़दूरी मिलती रही।,"But for him, the same labor and wages were paid."
